 Country , Year , IMF based exchange rate , Population , Currency ,  Per capita GNI  ,  Exports of goods and services  ,  Final consumption expenditure  , Gross National Income(GNI) in USD ,  Gross Domestic Product (GDP)  
 Ecuador ,1970,1.000USD,61.7M, US Dollar , $0.5K , $2.70M , $2.40B ,$2.81B, $2.86B 
 Ecuador ,1971,1.000USD,63.5M, US Dollar , $0.4K , $2.91M , $2.30B ,$2.69B, $2.75B 
 Ecuador ,1972,1.000USD,65.3M, US Dollar , $0.5K , $3.95M , $2.54B ,$3.07B, $3.18B 
 Ecuador ,1973,1.000USD,67.2M, US Dollar , $0.5K , $6.95M , $3.04B ,$3.67B, $3.89B 
 Ecuador ,1974,1.000USD,69.1M, US Dollar , $0.9K , $14.94M , $4.71B ,$6.19B, $6.60B 
 Ecuador ,1975,1.000USD,71.1M, US Dollar , $1.1K , $12.42M , $6.39B ,$7.55B, $7.73B 
 Ecuador ,1976,1.000USD,73.0M, US Dollar , $1.2K , $14.57M , $7.35B ,$8.81B, $9.09B 
 Ecuador ,1977,1.000USD,75.1M, US Dollar , $1.4K , $17.97M , $8.52B ,$10.72B, $11.02B 
 Ecuador ,1978,1.000USD,77.1M, US Dollar , $1.5K , $17.56M , $9.20B ,$11.57B, $11.92B 
 Ecuador ,1979,1.000USD,79.2M, US Dollar , $1.7K , $25.37M , $10.98B ,$13.57B, $14.17B 
 Ecuador ,1980,1.000USD,81.4M, US Dollar , $2.1K , $30.65M , $13.47B ,$16.99B, $17.87B 
 Ecuador ,1981,1.000USD,83.5M, US Dollar , $2.5K , $31.87M , $16.32B ,$20.66B, $21.80B 
 Ecuador ,1982,1.000USD,85.7M, US Dollar , $2.2K , $29.20M , $16.20B ,$18.44B, $19.92B 
 Ecuador ,1983,1.000USD,88.0M, US Dollar , $1.8K , $26.68M , $13.56B ,$15.87B, $17.14B 
 Ecuador ,1984,1.000USD,90.2M, US Dollar , $1.7K , $29.37M , $13.44B ,$15.39B, $16.90B 
 Ecuador ,1985,1.000USD,92.5M, US Dollar , $1.7K , $33.74M , $13.27B ,$15.88B, $17.14B 
 Ecuador ,1986,1.000USD,94.9M, US Dollar , $1.5K , $23.92M , $11.98B ,$14.07B, $15.31B 
 Ecuador ,1987,1.000USD,97.3M, US Dollar , $1.3K , $21.42M , $11.37B ,$12.99B, $13.94B 
 Ecuador ,1988,1.000USD,99.7M, US Dollar , $1.2K , $24.79M , $10.25B ,$12.15B, $13.05B 
 Ecuador ,1989,1.000USD,102.1M, US Dollar , $1.3K , $28.16M , $10.75B ,$12.85B, $13.88B 
 Ecuador ,1990,1.000USD,104.5M, US Dollar , $1.3K , $34.67M , $11.42B ,$14.06B, $15.23B 
 Ecuador ,1991,1.000USD,106.9M, US Dollar , $1.5K , $40.20M , $12.87B ,$15.96B, $16.98B 
 Ecuador ,1992,1.000USD,109.1M, US Dollar , $1.6K , $43.65M , $13.36B ,$17.22B, $18.09B 
 Ecuador ,1993,1.000USD,111.3M, US Dollar , $1.6K , $37.93M , $15.53B ,$18.17B, $18.93B 
 Ecuador ,1994,1.000USD,113.5M, US Dollar , $1.8K , $46.03M , $18.60B ,$20.95B, $22.70B 
 Ecuador ,1995,1.000USD,115.6M, US Dollar , $2.0K , $51.98M , $20.39B ,$22.70B, $24.42B 
 Ecuador ,1996,1.000USD,117.8M, US Dollar , $2.0K , $56.16M , $20.46B ,$23.49B, $25.21B 
 Ecuador ,1997,1.000USD,119.9M, US Dollar , $2.2K , $60.62M , $22.98B ,$26.12B, $28.15B 
 Ecuador ,1998,1.000USD,122.0M, US Dollar , $2.1K , $50.04M , $23.39B ,$25.66B, $27.97B 
 Ecuador ,1999,1.000USD,124.1M, US Dollar , $1.4K , $51.79M , $15.08B ,$17.14B, $19.64B 
 Ecuador ,2000,1.000USD,126.3M, US Dollar , $1.3K , $58.85M , $13.54B ,$16.73B, $18.32B 
 Ecuador ,2001,1.000USD,128.5M, US Dollar , $1.8K , $56.82M , $20.05B ,$22.84B, $24.47B 
 Ecuador ,2002,1.000USD,130.7M, US Dollar , $2.1K , $61.36M , $23.61B ,$27.04B, $28.55B 
 Ecuador ,2003,1.000USD,133.0M, US Dollar , $2.3K , $73.29M , $26.74B ,$30.69B, $32.43B 
 Ecuador ,2004,1.000USD,135.3M, US Dollar , $2.5K , $89.85M , $29.77B ,$34.46B, $36.59B 
 Ecuador ,2005,1.000USD,137.7M, US Dollar , $2.9K , $114.63M , $32.88B ,$39.33B, $41.51B 
 Ecuador ,2006,1.000USD,140.1M, US Dollar , $3.2K , $141.96M , $35.84B ,$44.61B, $46.80B 
 Ecuador ,2007,1.000USD,142.5M, US Dollar , $3.4K , $162.88M , $38.78B ,$48.97B, $51.01B 
 Ecuador ,2008,1.000USD,145.0M, US Dollar , $4.2K , $211.00M , $45.30B ,$60.29B, $61.76B 
 Ecuador ,2009,1.000USD,147.4M, US Dollar , $4.2K , $157.86M , $47.49B ,$61.24B, $62.52B 
 Ecuador ,2010,1.000USD,149.9M, US Dollar , $4.6K , $194.02M , $53.19B ,$68.57B, $69.56B 
 Ecuador ,2011,1.000USD,152.4M, US Dollar , $5.1K , $246.72M , $58.75B ,$78.07B, $79.28B 
 Ecuador ,2012,1.000USD,154.8M, US Dollar , $5.6K , $265.22M , $64.74B ,$86.59B, $87.92B 
 Ecuador ,2013,1.000USD,157.2M, US Dollar , $6.0K , $272.44M , $70.27B ,$93.66B, $95.13B 
 Ecuador ,2014,1.000USD,159.6M, US Dollar , $6.3K , $285.36M , $74.56B ,$100.00B, $102.00B 
 Ecuador ,2015,1.000USD,162.0M, US Dollar , $6.0K , $211.07M , $75.32B ,$97.50B, $99.29B 
 Ecuador ,2016,1.000USD,164.4M, US Dollar , $6.0K , $194.93M , $74.49B ,$98.03B, $99.94B 
 Ecuador ,2017,1.000USD,167.0M, US Dollar , $6.1K , $217.28M , $77.68B ,$102.00B, $104.00B 
 Ecuador ,2018,1.000USD,170.2M, US Dollar , $6.1K , $243.14M , $80.03B ,$105.00B, $108.00B 
 Ecuador ,2019,1.000USD,173.4M, US Dollar , $6.1K , $249.17M , $80.08B ,$105.00B, $108.00B 
 Ecuador ,2020,1.000USD,175.9M, US Dollar , $5.5K , $217.03M , $75.08B ,$96.43B, $99.29B 
 Ecuador ,2021,1.000USD,178.0M, US Dollar , $5.9K , $278.03M , $81.39B ,$105.00B, $106.00B 
 El Salvador ,1970,1.000USD,36.2M, US Dollar , $0.2K , $2.30M , $.80B ,$.79B, $.93B 
 El Salvador ,1971,1.000USD,37.1M, US Dollar , $0.2K , $2.40M , $.85B ,$.83B, $.98B 
 El Salvador ,1972,1.000USD,38.0M, US Dollar , $0.2K , $3.02M , $.90B ,$.88B, $1.04B 
 El Salvador ,1973,1.000USD,38.9M, US Dollar , $0.3K , $3.60M , $1.02B ,$1.02B, $1.21B 
 El Salvador ,1974,1.000USD,39.8M, US Dollar , $0.3K , $4.61M , $1.22B ,$1.20B, $1.43B 
 El Salvador ,1975,1.000USD,40.8M, US Dollar , $0.3K , $5.34M , $1.37B ,$1.36B, $1.62B 
 El Salvador ,1976,1.000USD,41.7M, US Dollar , $0.4K , $7.31M , $1.70B ,$1.75B, $2.06B 
 El Salvador ,1977,1.000USD,42.6M, US Dollar , $0.5K , $9.86M , $1.96B ,$2.19B, $2.59B 
 El Salvador ,1978,1.000USD,43.5M, US Dollar , $0.5K , $8.39M , $2.38B ,$2.33B, $2.78B 
 El Salvador ,1979,1.000USD,44.3M, US Dollar , $0.6K , $11.47M , $2.56B ,$2.64B, $3.11B 
 El Salvador ,1980,1.000USD,45.1M, US Dollar , $0.6K , $10.98M , $2.77B ,$2.71B, $3.23B 
 El Salvador ,1981,1.000USD,45.5M, US Dollar , $0.6K , $8.32M , $2.90B ,$2.62B, $3.13B 
 El Salvador ,1982,1.000USD,46.0M, US Dollar , $0.6K , $7.36M , $3.00B ,$2.69B, $3.24B 
 El Salvador ,1983,1.000USD,46.9M, US Dollar , $0.6K , $8.96M , $3.43B ,$3.02B, $3.67B 
 El Salvador ,1984,1.000USD,47.8M, US Dollar , $0.7K , $9.14M , $4.00B ,$3.49B, $4.22B 
 El Salvador ,1985,1.000USD,48.8M, US Dollar , $0.9K , $11.53M , $5.01B ,$4.31B, $5.18B 
 El Salvador ,1986,1.000USD,49.7M, US Dollar , $0.6K , $9.06M , $3.36B ,$3.07B, $3.68B 
 El Salvador ,1987,1.000USD,50.7M, US Dollar , $0.7K , $7.92M , $3.96B ,$3.49B, $4.18B 
 El Salvador ,1988,1.000USD,51.7M, US Dollar , $0.8K , $7.80M , $4.64B ,$4.14B, $4.95B 
 El Salvador ,1989,1.000USD,52.7M, US Dollar , $0.9K , $7.69M , $5.54B ,$4.89B, $5.83B 
 El Salvador ,1990,1.000USD,53.7M, US Dollar , $0.7K , $8.91M , $4.76B ,$4.00B, $4.82B 
 El Salvador ,1991,1.000USD,54.6M, US Dollar , $0.8K , $9.05M , $5.14B ,$4.42B, $5.25B 
 El Salvador ,1992,1.000USD,55.5M, US Dollar , $0.9K , $9.38M , $5.67B ,$5.00B, $5.81B 
 El Salvador ,1993,1.000USD,56.3M, US Dollar , $1.0K , $12.94M , $6.40B ,$5.84B, $6.68B 
 El Salvador ,1994,1.000USD,56.9M, US Dollar , $1.2K , $15.30M , $7.29B ,$6.84B, $7.68B 
 El Salvador ,1995,1.000USD,57.5M, US Dollar , $1.4K , $19.23M , $8.50B ,$8.05B, $8.92B 
 El Salvador ,1996,1.000USD,58.0M, US Dollar , $1.5K , $20.27M , $9.36B ,$8.72B, $9.59B 
 El Salvador ,1997,1.000USD,58.4M, US Dollar , $1.6K , $26.60M , $9.86B ,$9.39B, $10.22B 
 El Salvador ,1998,1.000USD,58.9M, US Dollar , $1.7K , $26.67M , $10.22B ,$10.14B, $10.94B 
 El Salvador ,1999,1.000USD,59.2M, US Dollar , $1.8K , $27.53M , $10.71B ,$10.42B, $11.28B 
 El Salvador ,2000,1.000USD,59.6M, US Dollar , $1.9K , $31.62M , $11.48B ,$11.02B, $11.78B 
 El Salvador ,2001,1.000USD,59.9M, US Dollar , $1.9K , $30.72M , $12.06B ,$11.59B, $12.28B 
 El Salvador ,2002,1.000USD,60.1M, US Dollar , $2.0K , $32.31M , $12.39B ,$11.97B, $12.66B 
 El Salvador ,2003,1.000USD,60.3M, US Dollar , $2.1K , $34.33M , $12.97B ,$12.51B, $13.24B 
 El Salvador ,2004,1.000USD,60.4M, US Dollar , $2.2K , $35.56M , $13.70B ,$13.13B, $13.72B 
 El Salvador ,2005,1.000USD,60.4M, US Dollar , $2.4K , $37.14M , $14.78B ,$14.21B, $14.70B 
 El Salvador ,2006,1.000USD,60.3M, US Dollar , $2.6K , $41.50M , $16.24B ,$15.56B, $16.00B 
 El Salvador ,2007,1.000USD,60.4M, US Dollar , $2.7K , $43.49M , $17.98B ,$16.56B, $17.01B 
 El Salvador ,2008,1.000USD,60.7M, US Dollar , $2.9K , $48.10M , $19.25B ,$17.60B, $17.99B 
 El Salvador ,2009,1.000USD,60.9M, US Dollar , $2.8K , $42.16M , $18.33B ,$17.05B, $17.60B 
 El Salvador ,2010,1.000USD,61.1M, US Dollar , $2.9K , $49.71M , $19.00B ,$17.91B, $18.45B 
 El Salvador ,2011,1.000USD,61.4M, US Dollar , $3.2K , $58.79M , $21.00B ,$19.67B, $20.28B 
 El Salvador ,2012,1.000USD,61.6M, US Dollar , $3.3K , $61.10M , $21.98B ,$20.52B, $21.39B 
 El Salvador ,2013,1.000USD,61.9M, US Dollar , $3.4K , $65.37M , $22.87B ,$21.00B, $21.99B 
 El Salvador ,2014,1.000USD,62.1M, US Dollar , $3.5K , $66.77M , $23.18B ,$21.56B, $22.59B 
 El Salvador ,2015,1.000USD,62.3M, US Dollar , $3.6K , $69.11M , $23.81B ,$22.35B, $23.44B 
 El Salvador ,2016,1.000USD,62.5M, US Dollar , $3.7K , $68.85M , $24.18B ,$22.95B, $24.19B 
 El Salvador ,2017,1.000USD,62.7M, US Dollar , $3.8K , $72.51M , $24.87B ,$23.59B, $24.98B 
 El Salvador ,2018,1.000USD,62.8M, US Dollar , $3.9K , $75.29M , $25.86B ,$24.55B, $26.02B 
 El Salvador ,2019,1.000USD,62.8M, US Dollar , $4.1K , $80.52M , $26.29B ,$25.54B, $26.88B 
 El Salvador ,2020,1.000USD,62.9M, US Dollar , $3.7K , $62.95M , $24.38B ,$23.25B, $24.56B 
 El Salvador ,2021,1.000USD,63.1M, US Dollar , $4.3K , $84.91M , $29.62B ,$27.11B, $28.74B 
 Equatorial Guinea ,1970,276.403USD,3.2M, CFA Franc BEAC , $0.1K , $.07M , $.02B ,$.02B, $.02B 
 Equatorial Guinea ,1971,258.655USD,3.1M, CFA Franc BEAC , $0.1K , $.10M , $.02B ,$.02B, $.02B 
 Equatorial Guinea ,1972,252.028USD,3.1M, CFA Franc BEAC , $0.1K , $.07M , $.02B ,$.02B, $.02B 
 Equatorial Guinea ,1973,222.889USD,3.0M, CFA Franc BEAC , $0.1K , $.10M , $.03B ,$.03B, $.03B 
 Equatorial Guinea ,1974,240.705USD,2.9M, CFA Franc BEAC , $0.1K , $.12M , $.03B ,$.03B, $.03B 
 Equatorial Guinea ,1975,214.313USD,2.8M, CFA Franc BEAC , $0.1K , $.15M , $.03B ,$.04B, $.03B 
 Equatorial Guinea ,1976,238.950USD,2.8M, CFA Franc BEAC , $0.1K , $.17M , $.03B ,$.04B, $.04B 
 Equatorial Guinea ,1977,245.680USD,2.7M, CFA Franc BEAC , $0.1K , $.19M , $.04B ,$.04B, $.04B 
 Equatorial Guinea ,1978,225.656USD,2.7M, CFA Franc BEAC , $0.2K , $.14M , $.05B ,$.05B, $.05B 
 Equatorial Guinea ,1979,212.722USD,2.7M, CFA Franc BEAC , $0.2K , $.14M , $.05B ,$.05B, $.05B 
 Equatorial Guinea ,1980,211.280USD,2.8M, CFA Franc BEAC , $0.2K , $.21M , $.06B ,$.06B, $.06B 
 Equatorial Guinea ,1981,271.731USD,3.0M, CFA Franc BEAC , $0.2K , $.26M , $.07B ,$.05B, $.05B 
 Equatorial Guinea ,1982,328.606USD,3.2M, CFA Franc BEAC , $0.2K , $.23M , $.06B ,$.06B, $.06B 
 Equatorial Guinea ,1983,381.066USD,3.4M, CFA Franc BEAC , $0.2K , $.04M , $.06B ,$.07B, $.07B 
 Equatorial Guinea ,1984,436.957USD,3.6M, CFA Franc BEAC , $0.2K , $.05M , $.06B ,$.07B, $.07B 
 Equatorial Guinea ,1985,449.263USD,3.8M, CFA Franc BEAC , $0.2K , $.24M , $.08B ,$.08B, $.09B 
 Equatorial Guinea ,1986,346.306USD,4.0M, CFA Franc BEAC , $0.3K , $.36M , $.11B ,$.10B, $.11B 
 Equatorial Guinea ,1987,300.537USD,4.1M, CFA Franc BEAC , $0.3K , $.64M , $.11B ,$.13B, $.14B 
 Equatorial Guinea ,1988,297.848USD,4.3M, CFA Franc BEAC , $0.3K , $.67M , $.13B ,$.14B, $.15B 
 Equatorial Guinea ,1989,319.008USD,4.5M, CFA Franc BEAC , $0.3K , $.56M , $.11B ,$.13B, $.14B 
 Equatorial Guinea ,1990,272.265USD,4.7M, CFA Franc BEAC , $0.4K , $.49M , $.11B ,$.18B, $.17B 
 Equatorial Guinea ,1991,282.107USD,4.8M, CFA Franc BEAC , $0.4K , $.51M , $.14B ,$.19B, $.17B 
 Equatorial Guinea ,1992,264.692USD,5.0M, CFA Franc BEAC , $0.4K , $.66M , $.14B ,$.19B, $.20B 
 Equatorial Guinea ,1993,283.163USD,5.2M, CFA Franc BEAC , $0.4K , $.78M , $.12B ,$.20B, $.20B 
 Equatorial Guinea ,1994,555.205USD,5.4M, CFA Franc BEAC , $0.3K , $.82M , $.06B ,$.15B, $.17B 
 Equatorial Guinea ,1995,499.148USD,5.6M, CFA Franc BEAC , $0.4K , $1.09M , $.14B ,$.20B, $.22B 
 Equatorial Guinea ,1996,511.552USD,5.8M, CFA Franc BEAC , $0.5K , $2.01M , $.26B ,$.30B, $.34B 
 Equatorial Guinea ,1997,583.669USD,6.1M, CFA Franc BEAC , $0.9K , $5.63M , $.25B ,$.55B, $.65B 
 Equatorial Guinea ,1998,589.952USD,6.3M, CFA Franc BEAC , $0.8K , $4.69M , $.30B ,$.49B, $.55B 
 Equatorial Guinea ,1999,615.699USD,6.6M, CFA Franc BEAC , $1.4K , $8.38M , $.30B ,$.89B, $.92B 
 Equatorial Guinea ,2000,711.976USD,6.8M, CFA Franc BEAC , $1.5K , $13.96M , $.23B ,$1.04B, $1.51B 
 Equatorial Guinea ,2001,733.039USD,7.2M, CFA Franc BEAC , $1.5K , $20.87M , $.35B ,$1.10B, $2.21B 
 Equatorial Guinea ,2002,696.988USD,7.5M, CFA Franc BEAC , $1.9K , $25.04M , $1.27B ,$1.47B, $2.72B 
 Equatorial Guinea ,2003,581.200USD,7.9M, CFA Franc BEAC , $2.2K , $27.34M , $1.63B ,$1.74B, $3.70B 
 Equatorial Guinea ,2004,528.285USD,8.3M, CFA Franc BEAC , $3.0K , $47.55M , $2.06B ,$2.48B, $5.62B 
 Equatorial Guinea ,2005,527.468USD,8.6M, CFA Franc BEAC , $5.0K , $71.24M , $2.50B ,$4.33B, $8.52B 
 Equatorial Guinea ,2006,522.890USD,9.1M, CFA Franc BEAC , $8.8K , $83.04M , $2.76B ,$7.93B, $10.09B 
 Equatorial Guinea ,2007,479.267USD,9.5M, CFA Franc BEAC , $11.0K , $115.84M , $3.56B ,$10.46B, $13.07B 
 Equatorial Guinea ,2008,447.805USD,9.9M, CFA Franc BEAC , $14.7K , $176.22M , $4.48B ,$14.64B, $19.75B 
 Equatorial Guinea ,2009,472.186USD,10.4M, CFA Franc BEAC , $9.5K , $111.72M , $5.13B ,$9.94B, $15.03B 
 Equatorial Guinea ,2010,495.277USD,10.9M, CFA Franc BEAC , $8.7K , $139.77M , $5.72B ,$9.53B, $16.30B 
 Equatorial Guinea ,2011,471.866USD,11.4M, CFA Franc BEAC , $11.8K , $160.17M , $6.85B ,$13.54B, $21.33B 
 Equatorial Guinea ,2012,510.527USD,11.9M, CFA Franc BEAC , $12.8K , $160.99M , $7.10B ,$15.32B, $22.39B 
 Equatorial Guinea ,2013,494.040USD,12.4M, CFA Franc BEAC , $13.3K , $148.45M , $9.06B ,$16.58B, $21.94B 
 Equatorial Guinea ,2014,494.415USD,13.0M, CFA Franc BEAC , $13.6K , $143.38M , $9.51B ,$17.58B, $21.74B 
 Equatorial Guinea ,2015,591.659USD,13.5M, CFA Franc BEAC , $8.4K , $74.65M , $8.02B ,$11.36B, $13.18B 
 Equatorial Guinea ,2016,592.606USD,14.0M, CFA Franc BEAC , $7.0K , $57.79M , $8.21B ,$9.84B, $11.24B 
 Equatorial Guinea ,2017,580.657USD,14.5M, CFA Franc BEAC , $7.3K , $71.82M , $8.62B ,$10.65B, $12.20B 
 Equatorial Guinea ,2018,555.446USD,15.0M, CFA Franc BEAC , $7.6K , $78.08M , $9.42B ,$11.36B, $13.10B 
 Equatorial Guinea ,2019,585.911USD,15.5M, CFA Franc BEAC , $6.3K , $60.29M , $9.27B ,$9.83B, $11.42B 
 Equatorial Guinea ,2020,575.586USD,16.0M, CFA Franc BEAC , $5.6K , $43.42M , $9.80B ,$8.98B, $10.02B 
 Equatorial Guinea ,2021,554.531USD,16.3M, CFA Franc BEAC , $7.0K , $67.76M , $10.50B ,$11.43B, $12.43B 
 Ethiopia (Former) ,1970,2.500USD,295.8M, Birr , $0.1K , $2.81M , $2.27B ,$2.53B, $2.56B 
 Ethiopia (Former) ,1971,2.493USD,304.1M, Birr , $0.1K , $2.70M , $2.44B ,$2.68B, $2.71B 
 Ethiopia (Former) ,1972,2.300USD,312.3M, Birr , $0.1K , $3.06M , $2.64B ,$2.93B, $2.96B 
 Ethiopia (Former) ,1973,2.099USD,320.7M, Birr , $0.1K , $4.47M , $2.96B ,$3.39B, $3.42B 
 Ethiopia (Former) ,1974,2.070USD,329.0M, Birr , $0.1K , $5.74M , $3.35B ,$3.83B, $3.85B 
 Ethiopia (Former) ,1975,2.070USD,337.0M, Birr , $0.1K , $4.73M , $3.56B ,$3.81B, $3.83B 
 Ethiopia (Former) ,1976,2.070USD,345.5M, Birr , $0.1K , $5.27M , $3.85B ,$4.16B, $4.16B 
 Ethiopia (Former) ,1977,2.070USD,352.2M, Birr , $0.1K , $5.82M , $4.49B ,$4.72B, $4.73B 
 Ethiopia (Former) ,1978,2.070USD,358.3M, Birr , $0.1K , $6.00M , $4.94B ,$5.03B, $5.03B 
 Ethiopia (Former) ,1979,2.070USD,363.7M, Birr , $0.2K , $6.53M , $5.34B ,$5.52B, $5.53B 
 Ethiopia (Former) ,1980,2.070USD,366.0M, Birr , $0.2K , $8.38M , $5.60B ,$5.88B, $5.89B 
 Ethiopia (Former) ,1981,2.070USD,375.2M, Birr , $0.2K , $7.95M , $5.87B ,$6.16B, $6.17B 
 Ethiopia (Former) ,1982,2.070USD,389.6M, Birr , $0.2K , $7.46M , $6.12B ,$6.34B, $6.35B 
 Ethiopia (Former) ,1983,2.070USD,400.4M, Birr , $0.2K , $7.91M , $6.76B ,$6.93B, $6.95B 
 Ethiopia (Former) ,1984,2.070USD,410.5M, Birr , $0.2K , $8.78M , $7.71B ,$8.18B, $8.21B 
 Ethiopia (Former) ,1985,2.070USD,421.9M, Birr , $0.2K , $7.88M , $9.51B ,$9.57B, $9.61B 
 Ethiopia (Former) ,1986,2.070USD,434.0M, Birr , $0.2K , $9.50M , $9.60B ,$10.00B, $10.04B 
 Ethiopia (Former) ,1987,2.070USD,448.5M, Birr , $0.2K , $8.78M , $9.51B ,$10.67B, $10.74B 
 Ethiopia (Former) ,1988,2.070USD,465.6M, Birr , $0.2K , $7.88M , $9.37B ,$10.99B, $10.44B 
 Ethiopia (Former) ,1989,2.070USD,483.0M, Birr , $0.2K , $9.50M , $9.22B ,$11.57B, $10.72B 
 Ethiopia (Former) ,1990,2.070USD,500.3M, Birr , $0.2K , $8.88M , $10.62B ,$12.16B, $11.54B 
 Ethiopia (Former) ,1991,2.070USD,519.8M, Birr , $0.3K , $7.29M , $12.72B ,$13.49B, $13.17B 
 Ethiopia (Former) ,1992,2.803USD,539.3M, Birr , $0.2K , $4.81M , $10.35B ,$10.58B, $10.67B 
 Ethiopia (Former) ,1993,5.000USD,557.7M, Birr , $0.1K , $6.57M , $7.45B ,$7.72B, $7.89B 
 Ethiopia ,1990,2.070USD,478.8M, Ethiopian Birr , $0.2K , $6.27M , $9.68B ,$11.17B, $11.21B 
 Ethiopia ,1991,2.070USD,499.4M, Ethiopian Birr , $0.3K , $5.14M , $11.68B ,$12.75B, $12.79B 
 Ethiopia ,1992,2.803USD,520.1M, Ethiopian Birr , $0.2K , $3.35M , $9.52B ,$10.19B, $10.23B 
 Ethiopia ,1993,5.000USD,537.9M, Ethiopian Birr , $0.1K , $4.46M , $6.65B ,$7.30B, $7.38B 
 Ethiopia ,1994,5.465USD,556.2M, Ethiopian Birr , $0.1K , $5.91M , $6.50B ,$7.06B, $7.15B 
 Ethiopia ,1995,6.158USD,574.8M, Ethiopian Birr , $0.1K , $7.90M , $6.78B ,$7.53B, $7.59B 
 Ethiopia ,1996,6.352USD,593.5M, Ethiopian Birr , $0.1K , $7.83M , $7.36B ,$8.21B, $8.24B 
 Ethiopia ,1997,6.709USD,612.3M, Ethiopian Birr , $0.1K , $10.06M , $7.34B ,$8.51B, $8.52B 
 Ethiopia ,1998,7.116USD,631.4M, Ethiopian Birr , $0.1K , $10.03M , $6.52B ,$7.72B, $7.73B 
 Ethiopia ,1999,7.942USD,650.8M, Ethiopian Birr , $0.1K , $8.60M , $6.52B ,$7.32B, $7.33B 
 Ethiopia ,2000,8.217USD,670.3M, Ethiopian Birr , $0.1K , $9.75M , $7.09B ,$8.01B, $8.03B 
 Ethiopia ,2001,8.457USD,690.2M, Ethiopian Birr , $0.1K , $9.63M , $6.92B ,$7.93B, $7.96B 
 Ethiopia ,2002,8.568USD,710.7M, Ethiopian Birr , $0.1K , $9.79M , $6.98B ,$7.67B, $7.69B 
 Ethiopia ,2003,8.600USD,731.7M, Ethiopian Birr , $0.1K , $11.37M , $7.81B ,$8.43B, $8.45B 
 Ethiopia ,2004,8.636USD,753.0M, Ethiopian Birr , $0.1K , $14.95M , $8.43B ,$9.90B, $9.94B 
 Ethiopia ,2005,8.666USD,774.7M, Ethiopian Birr , $0.2K , $18.55M , $11.01B ,$12.18B, $12.16B 
 Ethiopia ,2006,8.699USD,796.9M, Ethiopian Birr , $0.2K , $20.93M , $13.74B ,$14.98B, $14.98B 
 Ethiopia ,2007,8.966USD,820.0M, Ethiopian Birr , $0.2K , $24.37M , $16.65B ,$19.02B, $18.99B 
 Ethiopia ,2008,9.600USD,843.6M, Ethiopian Birr , $0.3K , $29.50M , $23.26B ,$25.64B, $25.61B 
 Ethiopia ,2009,11.778USD,867.6M, Ethiopian Birr , $0.3K , $29.92M , $25.43B ,$28.17B, $28.19B 
 Ethiopia ,2010,14.410USD,892.4M, Ethiopian Birr , $0.3K , $36.20M , $23.87B ,$26.26B, $26.31B 
 Ethiopia ,2011,16.899USD,918.2M, Ethiopian Birr , $0.3K , $50.86M , $25.22B ,$29.88B, $30.48B 
 Ethiopia ,2012,17.705USD,944.5M, Ethiopian Birr , $0.4K , $58.11M , $34.09B ,$41.51B, $42.21B 
 Ethiopia ,2013,18.627USD,970.8M, Ethiopian Birr , $0.5K , $58.10M , $38.36B ,$47.66B, $46.54B 
 Ethiopia ,2014,19.586USD,997.5M, Ethiopian Birr , $0.6K , $63.05M , $43.05B ,$55.43B, $54.16B 
 Ethiopia ,2015,20.577USD,1024.7M, Ethiopian Birr , $0.6K , $59.06M , $49.24B ,$64.48B, $63.08B 
 Ethiopia ,2016,21.732USD,1052.9M, Ethiopian Birr , $0.7K , $56.37M , $56.00B ,$71.92B, $72.16B 
 Ethiopia ,2017,23.866USD,1082.0M, Ethiopian Birr , $0.7K , $58.59M , $59.62B ,$76.34B, $76.79B 
 Ethiopia ,2018,27.429USD,1111.3M, Ethiopian Birr , $0.7K , $67.16M , $60.89B ,$79.85B, $80.21B 
 Ethiopia ,2019,29.070USD,1141.2M, Ethiopian Birr , $0.8K , $73.49M , $72.08B ,$91.99B, $92.56B 
 Ethiopia ,2020,34.927USD,1171.9M, Ethiopian Birr , $0.8K , $68.86M , $76.50B ,$96.07B, $96.61B 
 Ethiopia ,2021,43.734USD,1202.8M, Ethiopian Birr , $0.8K , $75.37M , $80.45B ,$98.77B, $99.27B 
 Eritrea ,1990,2.072USD,21.5M, Nakfa , $0.2K , $.70M , $.39B ,$.33B, $.33B 
 Eritrea ,1991,2.072USD,20.4M, Nakfa , $0.2K , $.86M , $.46B ,$.38B, $.38B 
 Eritrea ,1992,2.805USD,19.2M, Nakfa , $0.2K , $.50M , $.50B ,$.44B, $.44B 
 Eritrea ,1993,5.005USD,19.8M, Nakfa , $0.3K , $1.49M , $.57B ,$.51B, $.51B 
 Eritrea ,1994,5.470USD,20.4M, Nakfa , $0.3K , $1.68M , $.80B ,$.63B, $.63B 
 Eritrea ,1995,6.164USD,21.6M, Nakfa , $0.3K , $1.34M , $.86B ,$.65B, $.64B 
 Eritrea ,1996,6.358USD,22.6M, Nakfa , $0.3K , $2.03M , $.95B ,$.74B, $.75B 
 Eritrea ,1997,6.837USD,22.9M, Nakfa , $0.3K , $2.07M , $.94B ,$.78B, $.78B 
 Eritrea ,1998,7.362USD,23.2M, Nakfa , $0.4K , $1.10M , $1.05B ,$.81B, $.81B 
 Eritrea ,1999,8.153USD,23.6M, Nakfa , $0.3K , $.66M , $.93B ,$.80B, $.79B 
